id,price_doc
30474,3387182.9862456485
30475,7573286.634889644
30476,5867176.7302706
30477,5061095.945709249
30478,3803865.462198686
30479,7794010.591269362
30480,5704672.639985429
30481,4292144.742367537
30482,3986116.4407590535
30483,3857860.355751384
30484,6030674.698426528
30485,3727788.1529547125
30486,3128779.3309049457
30487,5292919.800188391
30488,5756598.865644999
30489,6930019.819994823
30490,18215519.72348444
30491,15211102.254956346
30492,8303120.84110947
30493,12557607.907988252
30494,6086184.739517897
30495,11617825.282920651
30496,13766422.962456651
30497,7875652.128371981
30498,4585553.5947202565
30499,9112506.966753017
30500,10235651.89497451
30501,6419268.21724651
30502,2469518.1600076454
30503,6117275.607833392
30504,5609455.239281762
30505,11073493.7607996
30506,3063179.6271651913
30507,3675551.8023169804
30508,7601329.265135225
30509,7367640.495472359
30510,9269370.369803738
30511,6403934.04417887
30512,5622555.265778322
30513,5763483.698129609
30514,4010867.8566152025
30515,8923003.116592983
30516,5458494.829438657
30517,9585200.718893314
30518,5774876.212279476
30519,5047884.77465809
30520,5815281.567754304
30521,5225952.1600927645
30522,9607459.250598518
30523,5580359.87206251
30524,7654862.933286161
30525,7432264.27005057
30526,3626235.542889684
30527,7511978.655354102
30528,5600196.141292233
30529,6334949.9053498795
30530,5195164.343191052
30531,14072611.506268585
30532,4933112.722789699
30533,9219290.480621802
30534,6029126.757584917
30535,9050867.66333901
30536,6100017.44617149
30537,10724865.95221377
30538,4440131.489133752
30539,16475752.00713783
30540,9204628.827147521
30541,7034829.208505593
30542,1980651.263941818
30543,4925046.677357351
30544,8686654.866728723
30545,7394338.046356683
30546,5596627.527407639
30547,8923224.887601107
30548,4924692.764670361
30549,4142303.297688205
30550,10386461.347715389
30551,4050025.8709057765
30552,1936257.356301743
30553,6661596.725680704
30554,10350784.795253683
30555,9056902.95420367
30556,7591234.350406273
30557,10150859.912578179
30558,7300313.308303973
30559,6146742.031413143
30560,5246839.047996271
30561,6640975.191820331
30562,10102344.520729441
30563,6319812.814398861
30564,7481076.050555868
30565,11304103.623597516
30566,8435166.222174691
30567,1974959.7373212958
30568,9326607.409496984
30569,9018359.469632456
30570,5520962.425800109
30571,6397282.434359068
30572,3654491.9237433695
30573,5972407.310035934
30574,6819260.596167896
30575,5316210.678004223
30576,5292919.800188391
30577,5625075.274703986
30578,3129770.4886253043
30579,6755080.623997868
30580,5071806.135265817
30581,4390586.919402581
30582,9448178.042792952
30583,6029126.757584917
30584,4029921.5029393835
30585,2310673.3939357507
30586,8513960.760541484
30587,8994037.32053238
30588,6162090.174545078
30589,7890339.23287316
30590,11379453.763276173
30591,5736058.909743902
30592,6762033.031004164
30593,13788475.702484617
30594,14361774.620721413
30595,5142378.926466397
30596,2547756.3961058264
30597,5972407.310035934
30598,9308215.295397468
30599,11948157.483446198
30600,9163728.580878349
30601,5548755.350763547
30602,1980651.263941818
30603,13055132.076625973
30604,5229444.725404777
30605,6288022.330484987
30606,18496712.22673218
30607,6601252.769607638
30608,7286940.357709839
30609,6950737.445858574
30610,2300738.5720865456
30611,7601329.265135225
30612,7389285.930816004
30613,7507367.972696491
30614,15364030.62020402
30615,7062362.506681436
30616,7689545.852351493
30617,7399785.882581601
30618,4566056.935488211
30619,5956423.577570926
30620,2942519.2628101152
30621,8214098.716421362
30622,7075709.501214739
30623,6590924.706598635
30624,7290704.746934174
30625,9425744.875891682
30626,6646655.19536079
